,Income,Total Claim Amount,Customer Lifetime Value,Months Since Policy Inception,Months Since Last Claim,Number of Policies,Monthly Premium Auto,Number of Open Complaints,Sqrt_Total Claim Amount,Log_Customer Lifetime Value,Exponential_Number of Policies,Reciprocal_Monthly Premium Auto,Boxcox_Number of Open Complaints,Education_1,Education_2,Education_3,Education_4,Policy Type_1,Policy Type_2,Sales Channel_1,Sales Channel_2,Sales Channel_3,State_1,State_2,State_3,State_4,Vehicle Class_1,Vehicle Class_2,Vehicle Class_3,Vehicle Class_4,Vehicle Class_5,Response_1,EmploymentStatus_1,EmploymentStatus_2,EmploymentStatus_3,EmploymentStatus_4,Marital Status_1,Marital Status_2,Coverage_1,Coverage_2,Policy_1,Policy_2,Policy_3,Policy_4,Policy_5,Policy_6,Policy_7,Policy_8,Vehicle Size_1,Vehicle Size_2,Renew Offer Type_1,Renew Offer Type_2,Renew Offer Type_3,Location Code_1,Location Code_2,Gender_1,Expiry_month_1,Expiry_week_in_year_1,Expiry_week_in_year_2,Expiry_week_in_year_3,Expiry_week_in_year_4,Expiry_week_in_year_5,Expiry_week_in_year_6,Expiry_week_in_year_7,Expiry_week_in_year_8,Expiry_week_in_year_9
10,0,482.4,4738.992022,5,23,3,67,0,21.963606261267753,8.463790731565343,1.2457309396155174,0.014705882352941176,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
11,0,528.0,8197.197078,87,27,3,110,0,22.978250586152114,9.01166954054113,1.2457309396155174,0.009009009009009009,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,77026,472.029737,8798.797003,82,9,3,110,2,21.726245349806764,9.082483932359322,1.2457309396155174,0.009009009009009009,76.99859017998783,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
13,99845,528.0,8819.018934,25,23,8,110,1,22.978250586152114,9.08477929571055,1.5157165665103982,0.009009009009009009,82.97545560926304,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
14,83689,307.139132,5384.431665,10,21,8,70,2,17.52538535952919,8.59145274700918,1.5157165665103982,0.014084507042253521,78.86334561623221,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
15,24599,42.920271,7463.139377,50,12,2,64,1,6.551356424436087,8.917865415584348,1.148698354997035,0.015384615384615385,55.237408001028776,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,25049,454.245098,2566.867823,7,14,1,67,0,21.313026486165686,7.8508311926907925,1.0,0.014705882352941176,55.532232523345954,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
17,28855,647.442031,3945.241604,59,12,1,101,0,25.444882216272884,8.280518912280455,1.0,0.00980392156862745,57.88397670877493,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18,51148,308.981664,5710.333115,1,9,7,72,0,17.577874274211887,8.650207745627794,1.4757731615945522,0.0136986301369863,68.39557288128972,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
19,66140,484.8,8162.617053,21,11,3,101,0,22.018174311236617,9.007442616043688,1.2457309396155174,0.00980392156862745,73.68296667062012,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20,57749,355.2,2872.051273,21,31,1,74,0,18.846750383023593,7.963129905321957,1.0,0.013333333333333334,70.84570789033754,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
21,13789,379.2,3041.791561,49,8,1,79,0,19.473058311420935,8.020530649686934,1.0,0.0125,46.55789891315845,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
22,14072,511.2,24127.50402,3,13,2,71,0,22.609732417700126,10.091149160012579,1.148698354997035,0.013888888888888888,46.83966262346756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
23,0,554.376763,2450.190996,44,4,1,73,3,23.54520679458985,7.804329306236653,1.0,0.013513513513513514,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
24,17870,439.2,2392.10789,91,30,1,61,0,20.957099035887577,7.780348172558573,1.0,0.016129032258064516,50.274675366260105,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
25,97541,389.185006,5802.065978,1,22,3,72,0,19.727772454081073,8.66614167376237,1.2457309396155174,0.0136986301369863,82.420021929105,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
26,0,799.2,3946.372085,47,15,1,111,0,28.270125574535392,8.280805341551575,1.0,0.008928571428571428,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
27,10511,516.237951,5346.916576,64,33,1,139,0,22.720870383856337,8.584462338997698,1.0,0.007142857142857143,42.94068157360608,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
28,86584,532.8,12902.56014,54,33,2,111,2,23.082460874005612,9.465258532119293,1.148698354997035,0.008928571428571428,79.64012331365122,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
29,75690,384.0,3235.360468,44,17,1,80,1,19.595917942265423,8.082204665052508,1.0,0.012345679012345678,76.61073372321975,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
30,23158,322.294043,2454.58354,6,4,1,63,1,17.952549763195197,7.806119706484777,1.0,0.015625,54.26621334891903,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
31,65999,615.927769,18975.45611,14,1,6,237,0,24.817892114359754,9.850954337659516,1.4309690811052556,0.004201680672268907,73.63750898777548,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
32,0,308.15089,4715.321344,56,19,3,65,0,17.554227126250815,8.458784398436832,1.2457309396155174,0.015151515151515152,0.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
33,54500,302.4,5018.885233,17,28,6,63,0,17.389652095427326,8.521162350472245,1.4309690811052556,0.015625,69.6666493319569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
34,37260,15.437681,4932.916345,42,19,8,62,0,3.9290814448163327,8.503888342142163,1.5157165665103982,0.015873015873015872,62.37392421695611,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,68987,204.475147,5744.229745,40,11,6,71,0,14.299480654904919,8.656125179909719,1.4309690811052556,0.013888888888888888,74.58616070860626,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
36,42305,561.6,13891.73567,62,10,2,117,0,23.6981011897578,9.539121368839597,1.148698354997035,0.00847457627118644,64.72464975171287,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
37,65706,436.8,7380.976717,86,19,8,91,0,20.89976076418101,8.90679672956167,1.5157165665103982,0.010869565217391304,73.54282182158413,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
38,0,648.0,3090.034104,79,7,1,90,0,25.45584412271571,8.036260975393798,1.0,0.01098901098901099,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
39,53243,157.397849,2521.633095,15,4,1,66,2,12.545829944646947,7.833058513967653,1.0,0.014925373134328358,69.19681279577608,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
40,0,484.318536,2652.061785,1,7,1,70,1,22.00723826380766,7.883469642596301,1.0,0.014084507042253521,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
41,50071,18.918935,2771.045031,32,3,1,71,0,4.349590210583061,7.927340605127341,1.0,0.013888888888888888,67.9743852873806,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,60021,882.871945,3939.00637,28,12,1,99,0,29.713161141150902,8.278937619041942,1.0,0.01,71.6419530630695,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
43,43244,494.4,12231.87968,16,15,2,103,0,22.235107375499673,9.4118826613082,1.148698354997035,0.009615384615384616,65.1394512116346,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
44,92834,292.8,2443.665166,56,15,1,61,0,17.11139970896595,7.801663446109687,1.0,0.016129032258064516,81.25505253425499,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
45,10105,0.517753,12819.10289,4,5,3,172,3,0.7195505541655847,9.458769756183484,1.2457309396155174,0.005780346820809248,42.43788958112994,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,0,579.165954,4468.510542,57,7,5,73,3,24.065866990407805,8.405034183178218,1.379729661461215,0.013513513513513514,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
47,23218,447.79344,5514.344018,10,7,4,71,0,21.1611304045885,8.615289308345947,1.3195079107728942,0.013888888888888888,54.30751263424446,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
48,0,529.624084,3343.875326,77,11,1,92,0,23.013563044430995,8.11518470011884,1.0,0.010752688172043012,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
49,0,313.023175,2294.478927,56,11,1,62,0,17.692460965055144,7.738696783512093,1.0,0.015873015873015872,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
50,24804,593.830288,36707.42639,28,1,2,104,0,24.368633281331146,10.510761609595535,1.148698354997035,0.009523809523809525,55.3721972779105,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
51,33190,508.8,33473.34946,95,18,2,106,0,22.556595487794695,10.418534736763368,1.148698354997035,0.009345794392523364,60.30306649383861,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
52,36014,173.956072,7983.431709,40,4,2,69,3,13.189240766624893,8.985248888298011,1.148698354997035,0.014285714285714285,61.75813296000674,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
53,29834,307.2,4854.745666,44,19,3,64,0,17.527121840165314,8.487917956161775,1.2457309396155174,0.015384615384615385,58.45220420316489,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
54,16701,831.625979,4293.997319,26,20,1,113,0,28.837926052336012,8.365206210203958,1.0,0.008771929824561403,49.278984971015724,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
55,46623,436.8,7164.395543,53,1,3,91,0,20.89976076418101,8.877018543623395,1.2457309396155174,0.010869565217391304,66.58020152224302,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
56,64749,302.56519,7619.5158,59,24,2,64,0,17.39440111070226,8.938599336678521,1.148698354997035,0.015384615384615385,73.23140652969126,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
57,0,484.8,3958.002823,12,29,1,101,0,22.018174311236617,8.28374746016473,1.0,0.00980392156862745,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
58,16969,704.768111,4499.493252,47,34,1,124,2,26.54746901307166,8.41194228130706,1.0,0.008,49.51160892598708,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
59,11621,518.4,4059.567414,98,4,1,108,0,22.768399153212332,8.309077999973516,1.0,0.009174311926605505,44.24702288220654,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
60,17622,312.0,4458.113369,36,1,3,65,1,17.663521732655695,8.402705229063187,1.2457309396155174,0.015151515151515152,50.06747459195454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
61,11489,504.0,8110.333139,50,4,6,105,0,22.44994432064365,9.001017515721037,1.4309690811052556,0.009433962264150943,44.09654230972017,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
62,0,863.327324,3339.764873,53,20,1,94,0,29.382432234245005,8.113955063645573,1.0,0.010526315789473684,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
63,66525,104.331355,24261.01777,86,0,2,100,0,10.214272122868081,10.096667351751666,1.148698354997035,0.009900990099009901,73.80673221282655,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,0,676.391482,6613.973653,28,21,2,63,0,26.00752741034795,8.797091093623512,1.148698354997035,0.015625,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
65,33663,350.4,2930.693543,71,29,1,73,0,18.718974330876144,7.983335536056751,1.0,0.013513513513513514,60.552874461283146,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
66,22547,537.6,8672.194272,60,7,3,112,0,23.186202793903103,9.067992430064626,1.2457309396155174,0.008849557522123894,53.84116978395735,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
67,61486,465.258644,11638.66926,65,5,2,97,0,21.56985498328628,9.362174306792394,1.148698354997035,0.01020408163265306,72.1438656723056,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
68,0,456.0,6846.150323,20,13,5,95,0,21.354156504062622,8.831587833458713,1.379729661461215,0.010416666666666666,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
69,29879,500.254235,11727.77648,0,17,2,102,0,22.366363919958022,9.369800629301807,1.148698354997035,0.009708737864077669,58.47799622090214,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,93011,281.451042,22643.83478,12,17,2,113,0,16.776502674872376,10.027687059871845,1.148698354997035,0.008771929824561403,81.29962481128106,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
71,65186,5.434505,2614.474305,27,29,1,65,0,2.3312024794084274,7.869200738637002,1.0,0.015151515151515152,73.37402050946538,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
72,26840,307.2,2451.752695,47,1,1,64,2,17.527121840165314,7.804966221809587,1.0,0.015384615384615385,56.66896495018522,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
73,0,982.399613,6781.270203,3,30,5,104,1,31.343254665079055,8.822067163089232,1.379729661461215,0.009523809523809525,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
74,75644,467.803638,4974.801539,68,5,9,65,3,21.628768758299675,8.512341749982163,1.5518455739153598,0.015151515151515152,76.59729136696608,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
