Months Since Policy Inception,Months Since Last Claim,Number of Policies,Monthly Premium Auto,Number of Open Complaints
56,15,3,86,0
43,20,1,103,0
32,8,2,65,0
10,19,7,113,0
27,2,1,103,0
89,3,1,133,0
46,6,1,128,4
53,15,3,65,0
1,30,5,111,0
50,0,4,116,0
36,33,2,76,2
85,2,1,92,0
45,13,5,89,0
70,21,3,69,4
34,27,6,71,1
14,19,1,66,1
79,14,3,108,0
87,25,3,78,0
90,23,3,73,0
86,0,7,72,0
72,9,5,114,1
39,7,5,63,0
75,33,8,112,1
30,19,3,91,0
35,21,8,225,0
5,6,3,71,0
6,17,6,118,0
77,21,1,64,0
49,34,2,110,1
51,25,1,66,2
60,0,9,72,0
88,16,8,101,0
27,33,1,67,0
69,15,8,68,0
41,17,9,117,1
65,7,2,112,0
95,24,1,80,0
64,14,4,118,0
45,0,2,116,0
28,8,3,132,0
63,18,1,111,0
0,3,6,67,0
48,5,6,61,1
62,6,1,110,0
19,3,6,73,0
47,8,3,116,0
97,10,3,106,2
75,7,2,153,0
20,11,1,121,4
75,17,1,98,0
14,16,1,139,0
70,2,1,69,1
42,29,1,110,0
30,32,7,66,0
39,14,1,73,1
22,1,5,73,0
31,33,2,80,0
48,35,2,102,0
11,24,2,98,1
75,2,1,65,0
65,15,1,68,0
82,23,2,98,0
56,1,1,63,0
36,27,9,111,0
47,7,1,71,0
63,25,2,82,0
42,17,5,70,1
73,17,1,74,0
5,6,2,67,0
49,23,3,67,1
11,1,5,70,0
14,35,1,76,0
48,6,8,119,1
97,20,2,154,0
22,2,5,72,0
31,28,1,61,0
29,25,3,71,0
91,23,2,73,0
69,1,3,71,0
29,20,8,64,0
17,17,2,79,3
61,35,1,92,0
77,18,3,106,2
32,34,2,74,2
77,7,1,72,0
20,17,3,63,0
89,9,1,69,0
28,27,1,74,0
36,5,1,109,3
1,29,1,161,0
95,2,3,66,0
67,9,4,69,1
86,21,2,69,0
44,8,3,76,0
30,28,2,112,0
92,3,1,69,0
90,18,7,65,0
62,15,1,80,0
86,6,9,156,0
70,29,1,71,0
73,19,1,62,0
83,4,1,88,0
52,27,7,63,0
42,7,9,112,0
53,19,3,68,3
95,18,2,106,0
39,32,3,74,0
62,6,2,126,0
7,1,1,100,0
21,0,1,171,0
76,25,3,72,0
28,14,1,79,0
2,22,1,90,0
68,2,1,64,0
27,29,1,62,0
79,29,2,115,1
81,32,1,116,0
23,15,2,104,0
54,29,1,72,4
20,2,3,85,0
50,18,1,105,0
61,8,2,68,0
81,1,3,69,0
71,13,5,63,0
50,9,2,98,0
19,5,1,65,1
47,4,3,111,0
98,13,6,96,0
37,20,1,67,0
67,15,8,114,0
21,23,2,116,0
78,8,1,73,0
78,1,9,69,0
25,0,1,136,0
75,9,2,87,0
67,12,7,67,5
22,29,2,244,0
43,4,2,123,1
45,22,3,61,0
6,15,2,113,0
59,10,2,109,0
16,6,2,183,0
29,25,5,176,0
80,21,6,73,0
97,6,4,69,0
31,5,1,62,0
76,21,6,86,0
34,7,1,112,1
43,13,9,67,1
51,34,4,74,0
63,24,1,183,0
38,9,1,114,0
93,3,3,127,0
80,20,2,62,1
69,14,8,136,1
61,10,3,71,0
49,4,1,112,0
63,28,2,230,0
5,31,3,129,0
1,27,2,66,0
90,35,1,133,0
90,35,7,177,0
59,35,3,63,3
43,28,1,72,0
74,6,1,110,0
70,3,6,124,2
15,12,1,130,0
73,0,1,196,2
6,1,1,74,1
75,22,2,79,0
43,3,3,113,0
63,18,3,76,0
22,1,1,113,1
62,1,7,74,0
85,9,6,132,0
14,9,2,73,0
40,4,9,131,4
80,30,6,64,0
19,30,4,88,0
2,6,3,105,0
32,13,1,78,0
69,19,1,114,0
6,4,1,100,0
93,15,6,117,0
57,24,4,73,0
68,14,1,91,0
57,30,6,63,0
34,25,1,74,0
55,5,1,86,0
35,15,4,138,0
52,32,2,65,0
37,27,2,90,0
47,1,3,65,1
15,10,9,113,1
4,3,1,68,0
53,24,4,100,0
41,4,1,70,0
32,24,2,76,1
70,25,1,61,0
50,20,1,92,0
8,9,5,68,0
67,4,9,131,0
36,27,1,65,2
22,27,1,70,0
13,32,3,111,0
43,12,1,114,0
87,35,8,83,0
33,16,2,70,0
93,7,2,74,0
36,20,8,80,0
64,14,2,95,0
24,12,1,64,0
3,25,2,66,0
58,15,1,65,0
13,0,9,67,0
37,2,4,65,0
27,1,9,86,2
25,31,3,84,0
20,13,1,88,0
28,3,4,92,0
21,15,3,69,0
83,6,1,68,0
88,6,5,62,0
51,5,2,74,0
87,0,1,110,0
89,12,2,86,1
57,19,9,73,0
23,34,1,117,0
91,33,1,276,0
81,20,1,70,0
61,20,1,96,1
90,23,2,106,0
48,9,1,94,0
75,2,2,66,0
24,6,1,111,2
19,23,2,64,0
90,33,4,103,0
70,31,1,66,0
79,14,4,102,2
93,28,2,72,0
51,23,5,81,0
18,17,1,66,0
59,15,1,253,0
31,3,5,139,0
86,0,2,137,3
5,34,8,113,0
66,20,7,110,0
49,2,3,67,1
23,17,1,80,0
93,33,1,113,0
77,1,2,72,0
66,24,1,180,0
50,12,2,130,0
0,23,8,74,0
66,20,2,203,0
93,19,5,86,3
45,16,6,69,0
10,2,9,68,1
15,18,2,63,0
27,6,1,66,0
65,10,1,102,0
70,2,1,69,1
15,7,7,68,0
20,13,5,95,0
83,19,4,76,0
15,1,2,98,0
19,30,6,88,0
71,5,1,111,0
23,28,6,104,2
80,34,5,86,0
94,9,2,73,0
1,33,9,118,0
79,3,6,73,0
92,24,2,192,0
92,11,1,106,0
40,19,2,127,0
56,5,1,113,0
59,35,1,74,0
46,3,3,102,0
85,9,5,99,0
51,19,4,65,2
85,5,4,72,0
31,7,4,115,0
59,21,3,129,0
23,28,1,107,1
45,12,1,115,1
59,34,1,94,4
58,33,9,73,0
41,32,8,64,1
75,25,1,85,3
66,11,3,108,0
71,3,9,161,1
52,28,2,109,3
71,17,2,61,3
87,3,1,147,1
7,2,1,90,0
39,33,1,87,0
16,19,1,101,0
24,33,1,154,0
43,16,3,165,0
74,2,3,107,0
44,34,1,64,0
19,32,2,63,0
16,25,3,67,0
54,12,6,88,0
68,12,1,69,0
87,21,4,73,0
40,9,2,67,0
80,8,3,110,2
78,16,1,65,0
46,22,7,99,1
88,14,4,103,0
27,12,3,62,0
55,18,1,198,1
12,25,2,62,1
72,22,5,88,3
8,9,3,119,0
78,1,9,69,0
84,32,3,118,0
18,19,1,62,1
36,1,3,65,1
98,23,1,135,0
51,3,1,112,2
34,31,1,96,0
46,0,1,70,1
85,4,1,111,0
15,11,6,106,0
77,30,1,62,0
51,11,1,73,0
70,16,1,109,1
77,15,4,118,0
90,5,3,63,0
4,6,2,62,0
9,20,1,61,0
14,11,2,74,0
55,8,2,108,0
67,33,7,69,0
43,7,5,66,1
37,6,6,110,0
73,0,2,125,0
88,1,2,113,0
40,4,1,193,1
69,22,3,74,0
19,23,3,100,1
9,12,3,81,0
28,28,2,69,3
23,8,1,65,0
35,15,1,116,0
59,1,2,118,0
72,2,7,108,0
14,25,7,65,0
73,18,8,67,0
81,26,1,62,0
90,20,9,72,0
10,30,3,68,0
56,1,1,66,0
98,11,2,88,0
56,17,1,89,0
38,16,2,128,0
31,25,5,84,2
47,6,2,88,0
25,3,5,73,0
52,0,2,74,0
7,15,2,62,0
17,12,6,95,1
40,20,1,271,0
97,6,1,71,1
7,5,1,103,2
54,34,2,188,3
91,19,1,67,0
85,4,1,68,0
21,24,3,89,0
30,18,1,68,0
10,8,1,67,0
28,6,2,103,0
42,21,1,73,0
79,2,2,63,0
32,18,1,102,5
74,17,6,107,0
10,0,2,97,0
4,1,2,112,1
52,6,6,131,0
40,4,9,111,0
65,20,2,69,0
20,13,5,95,0
26,32,5,83,1
10,27,8,78,0
84,26,3,73,0
99,24,2,107,0
42,7,3,137,0
18,25,1,86,0
53,27,2,62,0
71,9,3,72,0
63,30,1,67,0
63,10,1,78,0
11,4,7,72,1
5,5,1,103,0
11,18,1,72,0
28,2,4,68,1
52,5,6,64,0
76,5,8,128,0
88,1,1,68,1
58,11,2,68,0
37,26,9,112,0
90,15,1,95,0
6,26,3,118,3
47,18,1,70,0
48,25,9,70,0
34,11,1,65,0
26,27,3,92,0
0,25,2,66,2
7,19,3,76,0
82,30,1,74,4
11,19,2,126,0
73,11,3,125,1
22,4,2,100,1
76,16,3,72,0
71,11,7,110,3
46,31,1,112,0
10,11,9,87,0
62,35,2,71,0
0,30,7,94,1
20,2,2,71,0
32,22,2,66,1
68,2,1,64,0
85,11,1,64,0
79,14,1,103,0
28,6,2,103,0
31,7,7,68,0
70,30,6,93,0
59,32,2,89,0
41,20,1,103,0
93,20,2,90,0
99,5,2,63,0
35,16,1,66,4
35,24,1,61,0
86,27,2,118,0
9,32,8,118,0
22,10,2,101,0
56,18,1,79,0
49,1,1,106,0
43,28,1,103,0
57,18,4,70,0
31,9,2,65,0
63,5,1,113,0
87,5,1,142,0
45,25,1,137,0
3,16,2,107,1
43,8,1,74,0
30,6,1,61,0
54,11,9,128,2
32,3,1,136,0
14,18,1,139,0
21,29,1,71,0
48,0,6,108,0
3,13,2,71,0
37,17,2,73,0
61,33,1,61,0
11,34,3,61,2
63,24,6,114,4
19,7,2,67,0
46,4,3,97,0
54,2,6,131,0
21,2,2,99,0
16,7,7,110,0
77,4,3,82,1
4,0,2,66,0
5,25,8,88,0
10,24,9,114,3
25,0,3,110,0
35,7,2,81,0
10,0,9,66,0
78,5,2,64,1
93,0,1,130,0
83,33,3,71,0
51,13,3,100,0
7,27,1,72,0
17,25,2,96,0
94,23,2,63,0
71,12,4,73,0
70,2,1,69,1
12,19,2,112,4
63,31,2,92,0
1,30,2,114,0
73,22,2,115,0
70,29,1,71,0
45,15,5,89,0
40,20,1,271,0
7,4,3,73,0
44,14,3,206,0
3,8,3,66,0
41,16,2,87,1
81,30,1,196,0
48,1,7,104,3
89,8,3,99,1
75,0,1,63,0
81,13,2,88,1
31,20,6,66,0
49,18,2,132,0
1,16,2,102,0
28,7,1,65,0
62,14,2,65,0
39,33,2,82,0
79,14,1,103,0
95,24,3,61,2
6,23,1,114,0
50,6,2,118,0
79,6,1,193,0
58,15,1,65,0
62,4,1,133,2
10,31,2,89,0
61,28,2,95,3
6,1,1,109,1
37,0,1,119,0
65,3,3,107,0
92,3,1,105,0
14,8,1,135,0
79,10,2,71,1
23,1,2,71,0
32,21,2,85,0
53,31,1,64,0
94,22,2,74,3
61,4,1,72,0
76,13,1,62,0
24,33,1,154,0
30,19,2,70,0
30,7,2,63,2
92,2,1,61,0
90,16,1,67,0
7,26,2,70,0
10,24,1,70,0
1,13,3,65,0
2,19,2,68,3
73,3,1,74,0
44,3,3,108,0
88,14,2,62,0
86,5,1,112,0
38,7,1,61,0
45,6,2,65,0
11,3,1,80,0
39,18,2,101,0
2,11,1,63,0
56,3,2,182,0
38,10,9,109,0
19,13,1,83,1
25,4,9,67,0
30,15,1,97,4
64,7,2,115,0
56,3,3,72,0
33,26,1,189,3
42,5,5,105,0
92,0,3,160,0
89,22,2,99,0
36,10,3,86,0
69,9,7,80,0
25,18,4,84,1
25,10,2,71,0
67,8,1,72,0
87,20,1,114,0
10,28,9,107,2
81,8,6,62,2
20,5,5,71,0
51,8,4,112,0
69,27,4,68,0
46,14,2,295,0
76,3,1,67,0
72,29,2,102,2
71,9,3,72,0
14,7,2,111,0
33,1,1,67,0
18,9,1,92,0
86,27,2,78,0
24,7,1,210,2
34,13,7,107,0
18,26,1,62,0
36,24,2,71,0
38,7,1,61,0
48,27,9,69,0
38,1,1,66,0
33,14,1,69,0
58,29,1,69,1
49,25,2,64,0
87,28,4,139,1
86,24,5,134,3
66,22,1,123,0
11,24,1,101,0
43,25,1,88,0
62,12,1,65,0
59,20,2,131,0
64,11,3,92,1
35,30,3,61,0
23,8,8,116,0
56,5,2,139,0
63,21,6,71,0
79,3,2,96,0
32,3,1,71,0
70,5,9,106,1
19,23,2,64,0
13,25,1,83,0
4,31,1,131,1
28,11,2,78,1
83,1,1,101,4
67,15,1,63,0
54,33,1,182,1
62,5,1,116,0
46,33,1,68,4
18,12,2,73,0
72,7,2,79,0
34,17,1,62,0
63,18,1,119,0
74,14,8,73,0
73,27,6,69,0
86,8,1,92,0
61,0,4,64,0
31,8,2,99,0
21,9,5,62,0
58,21,1,66,0
25,14,1,131,3
76,23,1,67,2
77,9,2,87,1
72,0,1,239,2
50,10,7,118,0
19,15,2,111,0
59,13,1,112,0
5,7,2,64,1
3,25,2,66,0
24,13,1,71,0
50,21,3,70,0
68,24,1,65,2
11,14,1,66,0
99,9,2,113,0
65,16,3,63,5
40,0,1,62,0
12,31,5,188,0
44,0,4,121,0
73,6,6,119,0
86,31,1,99,0
24,0,2,99,0
68,23,2,69,0
58,29,2,83,0
40,0,1,97,0
55,7,2,70,3
75,2,2,115,0
47,2,4,83,0
83,4,9,65,0
69,17,1,73,1
53,0,2,97,0
94,10,1,84,1
10,33,7,65,1
55,10,2,115,0
68,11,2,90,0
72,34,3,62,0
32,21,8,108,1
18,13,2,64,0
61,28,1,93,0
23,0,1,70,0
36,1,5,61,1
30,10,3,114,0
23,15,1,256,0
64,27,6,114,1
84,3,7,112,0
15,3,2,64,0
79,22,2,72,0
73,23,1,65,0
12,9,3,71,0
74,9,6,67,0
64,19,1,69,0
23,11,8,71,0
4,21,2,85,0
91,27,1,74,0
71,23,6,64,0
15,34,3,63,0
29,34,2,71,0
29,6,1,62,0
34,8,1,62,0
28,6,1,113,0
82,35,7,188,0
21,21,2,90,0
5,33,1,104,0
56,26,1,71,0
86,4,2,98,1
7,5,1,96,4
53,3,1,85,0
57,5,1,86,0
11,12,1,68,3
16,23,4,134,0
63,30,1,65,0
6,27,6,78,0
13,23,7,69,0
23,8,8,116,0
5,12,3,65,0
64,29,4,63,3
20,19,2,129,0
85,5,4,73,0
3,7,2,88,0
58,8,1,65,0
27,4,3,68,0
41,25,2,67,1
36,1,3,65,1
24,14,1,72,0
46,27,1,84,0
44,0,5,63,0
88,5,3,173,0
93,6,8,68,0
5,19,2,65,0
29,13,1,64,1
56,15,3,66,0
84,16,3,115,0
40,19,9,103,0
5,25,1,153,0
4,7,9,196,0
28,8,3,86,0
34,21,1,125,0
61,32,8,135,0
29,29,2,70,0
12,3,1,61,1
39,29,2,67,0
44,17,7,73,0
54,5,7,100,0
88,17,8,77,0
81,4,1,65,0
3,31,1,119,0
8,0,1,71,0
35,21,2,101,0
74,19,2,106,0
98,19,2,73,0
71,13,2,104,0
29,25,3,71,0
23,28,1,107,1
98,14,1,68,0
99,18,2,70,0
46,20,1,103,0
31,16,9,72,0
71,31,3,104,0
71,4,2,125,1
47,15,6,68,0
19,20,2,92,0
28,8,3,92,0
64,25,1,81,0
95,6,3,71,0
37,13,2,192,0
87,17,2,114,1
66,30,5,93,0
51,5,1,285,0
73,11,2,63,0
44,3,7,83,0
87,8,2,90,0
38,14,1,94,1
86,21,2,119,0
12,22,7,63,0
72,3,1,85,0
41,25,1,99,1
83,26,1,110,0
72,5,7,73,0
34,34,1,92,0
24,7,2,71,0
18,8,2,148,0
10,25,2,65,0
62,16,1,112,0
37,13,5,70,0
64,6,1,63,0
31,1,5,68,0
96,2,6,94,1
36,1,3,65,1
57,11,2,124,0
34,7,7,72,2
8,31,1,114,0
52,26,8,89,0
98,10,2,118,0
41,1,2,69,0
8,30,1,80,0
73,8,1,98,0
55,17,2,72,0
49,17,2,112,0
76,12,1,109,2
93,24,1,64,0
15,23,1,69,0
76,16,8,107,0
50,5,9,197,0
86,0,2,64,0
71,2,1,69,0
10,26,6,66,0
81,18,1,66,0
92,0,6,107,0
10,33,3,111,0
63,7,1,63,1
72,1,3,110,0
40,24,9,73,2
2,11,1,63,0
5,23,7,66,0
37,6,1,199,0
83,2,2,117,0
14,13,7,118,0
36,15,2,92,0
34,5,1,109,0
67,16,5,63,0
15,11,1,116,0
78,30,1,73,1
0,28,1,78,1
28,20,2,102,2
23,26,1,88,0
87,20,1,114,0
21,10,9,112,0
89,8,2,214,1
38,3,1,94,0
55,20,6,96,0
12,6,1,171,0
9,19,1,63,0
45,1,1,71,0
22,30,6,65,0
54,9,2,198,1
14,4,2,67,0
7,13,1,65,0
51,29,1,61,0
64,17,3,73,0
7,14,5,65,0
43,5,2,108,0
28,21,7,61,0
93,0,1,105,0
30,31,3,68,1
24,12,4,79,1
32,2,4,103,0
89,23,2,83,0
11,32,1,69,0
27,1,4,138,0
43,25,1,88,0
65,3,1,72,0
56,3,2,105,0
87,18,1,96,3
45,1,2,64,0
75,35,1,109,0
56,0,2,73,0
61,15,7,109,0
88,1,2,113,0
64,14,4,118,0
53,24,3,65,0
79,14,3,63,1
57,16,1,61,0
88,4,1,108,0
88,1,2,113,0
1,30,4,104,0
40,20,1,271,0
41,8,8,96,0
21,3,7,69,1
9,31,1,118,0
75,14,1,64,5
32,34,1,111,0
79,35,2,69,0
12,20,6,72,0
25,17,6,88,0
53,6,1,127,1
67,4,2,103,0
8,0,2,100,0
17,1,1,67,2
58,18,2,74,0
36,11,7,70,2
38,20,8,67,0
50,18,1,105,0
3,4,3,85,1
56,25,2,73,0
40,15,2,114,0
32,9,3,71,0
10,25,2,79,0
65,28,1,96,0
56,20,2,94,0
89,8,2,214,1
70,34,1,107,1
13,19,1,71,0
98,35,5,91,0
59,28,1,91,0
43,12,1,71,0
53,4,1,68,0
55,4,2,100,0
96,0,9,98,1
91,19,2,81,0
20,25,6,94,0
15,2,2,61,0
68,22,1,134,0
8,15,9,87,0
57,6,1,61,0
64,20,1,63,0
42,14,2,66,0
13,20,4,64,0
54,7,1,101,0
16,33,1,71,0
42,19,8,94,0
31,16,2,85,1
39,0,1,116,0
75,35,2,99,0
68,11,3,175,0
48,14,3,199,0
25,23,8,110,1
92,26,1,167,0
97,1,1,194,0
11,11,2,164,1
78,9,1,117,0
81,20,1,105,0
34,9,1,68,0
21,6,9,70,1
30,5,5,68,0
97,26,1,65,0
22,13,1,105,0
14,10,1,69,1
63,28,1,95,0
17,19,4,126,0
8,12,1,125,0
96,22,2,181,0
65,4,1,69,0
14,10,5,103,3
48,19,1,131,0
11,3,1,69,0
65,17,1,72,4
38,10,2,68,0
24,10,1,73,0
84,18,2,103,0
19,16,2,66,1
38,0,2,104,2
77,30,1,62,0
46,15,6,87,0
29,25,2,139,1
24,6,6,70,0
77,14,1,113,0
16,13,2,70,1
68,14,9,90,0
92,29,2,82,0
43,24,3,180,0
25,25,8,74,0
25,7,1,66,0
41,3,6,68,1
80,15,3,62,0
31,30,2,142,0
10,9,1,63,0
59,19,7,239,0
2,25,9,79,0
31,30,1,99,0
33,26,9,69,0
54,25,3,106,1
77,16,2,66,0
93,35,1,136,0
16,6,1,80,0
31,16,9,72,0
47,12,2,61,1
9,8,2,68,0
5,6,1,96,0
4,20,3,70,4
45,2,5,66,0
64,16,2,89,1
36,17,9,98,0
85,2,2,65,0
84,23,1,71,0
40,21,2,61,1
89,11,2,100,2
61,0,3,119,0
2,7,6,79,0
66,16,2,73,0
82,16,2,98,0
31,26,6,70,0
23,29,2,82,1
23,9,6,110,0
23,22,2,66,0
4,6,7,66,0
81,15,9,61,0
50,16,1,139,0
98,21,7,112,0
84,6,3,78,0
60,13,2,124,0
41,17,9,117,1
72,14,2,110,1
4,14,2,74,0
6,22,9,68,1
20,10,2,78,0
20,33,1,109,2
58,21,4,222,0
61,10,2,64,0
97,25,3,101,0
87,26,1,77,0
38,10,4,130,2
9,1,6,84,0
84,28,1,84,0
0,11,1,130,0
55,16,1,61,0
16,17,9,85,0
61,34,9,131,0
51,3,1,139,0
17,13,9,61,0
27,17,2,74,0
18,21,3,96,0
38,16,2,71,0
89,25,1,90,0
91,28,1,82,0
54,33,3,103,0
5,11,1,111,0
35,31,1,62,0
27,14,2,70,3
92,11,1,103,0
9,23,1,107,0
41,20,7,72,0
90,8,3,107,2
59,27,2,99,0
20,6,1,103,0
82,22,3,72,0
89,3,1,90,0
19,27,9,74,0
33,17,3,87,0
9,1,6,84,0
90,7,5,93,1
95,30,5,72,0
5,25,1,153,0
48,10,1,66,1
31,10,2,62,0
2,4,2,66,0
25,2,6,114,3
93,3,1,114,0
57,30,3,108,0
43,28,2,90,0
21,4,1,215,1
12,12,6,101,0
10,19,3,65,0
93,35,1,136,0
91,33,1,102,0
66,31,1,112,1
67,28,2,71,0
46,13,2,103,0
71,2,6,102,1
43,16,1,283,0
94,22,2,74,3
77,31,1,169,0
35,24,1,63,1
13,0,2,80,1
18,9,1,107,0
67,6,2,89,0
11,28,1,102,0
74,8,8,248,0
31,9,2,65,0
80,29,3,70,0
71,2,1,90,0
61,17,2,104,0
94,19,1,97,5
43,2,2,74,1
63,3,2,74,0
14,12,6,73,0
27,8,9,63,0
93,35,1,136,0
30,18,2,72,3
26,28,2,223,0
97,16,2,126,0
92,11,5,121,0
26,30,5,128,0
64,1,2,64,0
67,9,3,78,0
86,20,1,129,1
49,0,6,111,5
45,0,1,65,0
49,29,1,79,1
67,12,1,82,0
65,5,4,85,0
67,21,1,66,0
29,13,1,107,0
51,14,2,79,2
38,35,1,77,0
7,18,2,65,3
44,1,4,73,0
38,27,2,111,0
89,13,4,91,0
35,29,1,69,0
55,6,2,108,0
66,22,1,87,2
46,5,1,136,0
62,32,1,65,0
75,33,1,67,2
72,4,7,72,0
97,14,3,133,1
20,5,2,98,0
3,21,4,62,0
67,29,5,113,0
62,0,4,70,1
9,27,1,90,0
11,10,1,73,0
26,32,6,127,2
59,11,1,86,0
53,13,1,99,0
77,8,3,69,0
54,7,1,101,0
27,29,6,67,0
35,2,8,73,0
79,16,1,99,0
54,0,1,81,0
55,7,1,108,0
43,2,5,67,3
90,35,1,133,0
34,2,1,61,1
94,22,2,74,3
47,30,2,86,0
10,17,2,69,0
62,7,1,107,0
44,30,1,83,0
59,19,7,239,0
19,7,1,135,0
43,19,8,67,0
32,7,3,101,3
41,4,1,71,0
11,24,8,96,0
15,31,1,61,0
12,8,1,81,2
93,8,1,66,0
56,30,4,65,0
62,5,7,79,0
17,13,3,63,0
35,34,1,61,1
21,12,5,83,0
18,18,1,84,0
78,19,2,67,0
8,1,3,112,0
96,7,1,112,0
30,1,2,115,0
64,1,9,273,0
24,4,6,128,0
67,21,1,71,0
92,9,5,63,0
37,24,9,68,0
59,13,1,66,0
44,3,3,108,0
